sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id,cf_id
2,6,5,3,9,1,3769.0,360.0,0.0,5815.0,5311.0,26200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.0,26200.0,original,5,0
2,6,5,3,9,1,3769.0,8161.1,0.0,5815.0,5311.0,26200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.0,26200.0,counterfactual,5,1
2,6,5,3,9,1,3769.0,6841.5,0.0,5815.0,5311.0,26200.0,0.0,0.0,0.0,1716.5,0.0,0.0,1,21.0,26200.0,counterfactual,5,2
2,6,5,3,9,1,3769.0,8517.0,0.0,5815.0,5311.0,26200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.0,26200.0,counterfactual,5,3
2,4,3,2,2,2,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1,33.0,26200.0,original,8,0
2,4,3,2,2,2,3769.0,3310.0,0.0,17835.4,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1,33.0,26200.0,counterfactual,8,1
2,4,3,2,2,2,3769.0,483.6,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1,33.0,11711.0,counterfactual,8,2
2,8,3,2,2,2,3769.0,515.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1,33.0,26200.0,counterfactual,8,3
2,6,1,3,9,1,3769.0,240.0,0.0,15826.0,14770.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2,34.0,16000.0,original,10,0
2,6,1,3,9,1,3769.0,3643.8,0.0,15826.0,14770.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2,34.0,16000.0,counterfactual,10,1
2,5,1,5,9,1,3769.0,240.0,0.0,15826.0,14770.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2,34.0,16000.0,counterfactual,10,2
2,6,1,3,9,1,3769.0,5234.4,0.0,15826.0,14770.0,16000.0,0.0,0.0,0.0,0.0,0.0,16000.0,2,34.0,16000.0,counterfactual,10,3
2,7,5,1,9,1,3769.0,460.0,0.0,9668.0,8996.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,1,30.0,15000.0,original,11,0
2,7,5,1,9,1,3769.0,8193.7,0.0,9668.0,8996.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,4,30.0,15000.0,counterfactual,11,1
2,7,4,1,9,1,3769.0,4233.5,0.0,9668.0,8996.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,1,30.0,15000.0,counterfactual,11,2
2,7,5,1,9,1,3769.0,10365.5,0.0,9668.0,8996.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,1,30.0,15000.0,counterfactual,11,3
