feature,mean_abs_shap,rank
debt_financial,1.6820525303609035,1
h19_pers_income2,1.466292871080337,2
housing_debt_balance,0.7388995708382122,3
employment_status,0.7269614284478555,4
housing_tenure,0.7232146381596692,5
sex,0.6751997577082665,6
total_debt,0.6283577316549457,7
h19_cin,0.6218930250541453,8
education,0.4327833778996386,9
region,0.34566612698370575,10
age,0.3441388883712018,11
h19_pers_income1,0.3303584611132407,12
h19_din,0.29087360575360066,13
marital_status,0.1385482697931003,14
debt_card,0.1321248523872333,15
debt_lease,0.11812409183879001,16
employment_type,0.04594274688889106,17
h19_pers_income4,0.040701289890874,18
debt_private,0.021909398194904197,19
debt_other,0.01570179274582888,20
debt_credit,0.0021823133830713203,21
